Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Honda,Honda XBlade,2018,54000,Yes,Kolkata, West Bengal
Honda,Honda SP125,2023,88000,Yes,Indore, Madhya Pradesh
Jawa,Jawa 42 Bobber Black Mirror,2023,210000,Yes,Ghaziabad, Uttar Pradesh
Suzuki,Suzuki V-Strom SX,2023,178000,Yes,Ahmedabad, Gujarat
Hero,Hero Xtreme 200R,2019,50000,Yes,Gurgaon, Haryana
Bajaj,Bajaj Avenger Street 150,2017,45000,Yes,Bangalore, Karnataka
Ola,Ola S1 Pro,2022,110000,Yes,Chennai, Tamil Nadu
KTM,KTM Duke 390,2017,110000,Yes,West Delhi, Delhi
Yamaha,Yamaha FZS 25 BS6,2021,100000,Yes,Coimbatore, Tamil Nadu
Hero,Hero HF Deluxe,2016,30000,Yes,North West Delhi, Delhi
TVS,TVS Jupiter SmartXonnect Disc 2024,2024,110000,Yes,"Dombivli, Thane", Maharashtra
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2024,220000,Yes,"Goregaon, Mumbai", Maharashtra
Bajaj,Bajaj Pulsar 125,2022,69500,Yes,Jamshedpur, Jharkhand
TVS,TVS Apache RTR 160 4V Special Edition,2022,115000,Yes,"Atrauli, Aligarh", Uttar Pradesh
Suzuki,Suzuki V-Strom SX 2025,2025,250000,Yes,"Sholinganallur, Chennai", Tamil Nadu
Suzuki,Suzuki Access 125 BS6,2023,85000,Yes,Visakhapatnam, Andhra Pradesh
Royal Enfield,Royal Enfield Bullet Standard 350,2025,230000,Yes,Pune, Maharashtra
Yamaha,Yamaha R15 V4,2023,170000,Yes,Navi Mumbai, Maharashtra
TVS,TVS Jupiter ZX BS6,2021,46000,Yes,Ghaziabad, Uttar Pradesh
UM,UM Renegade Commando,2017,120000,Yes,"Bannerghatta Road, Bangalore", Karnataka
Yamaha,Yamaha YZF R15 V3,2020,120000,Yes,Azamgarh, Uttar Pradesh
